category,kind,image,rank,listingId,title,score
bedroom,interior,bedroom-09.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",59.2
bedroom,interior,bedroom-09.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",58.5
bedroom,interior,bedroom-10.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",45.9
bedroom,interior,bedroom-10.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",45.9
bedroom,interior,bedroom-10.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",42
bedroom,interior,bedroom-10.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",40.3
bathroom,interior,bathroom-01.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",70.2
bathroom,interior,bathroom-01.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",70.2
bathroom,interior,bathroom-01.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",64.2
bathroom,interior,bathroom-01.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",61
bathroom,interior,bathroom-02.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",71.7
bathroom,interior,bathroom-02.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",71.7
bathroom,interior,bathroom-02.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",69.2
bathroom,interior,bathroom-02.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",65.7
bathroom,interior,bathroom-03.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",58.9
bathroom,interior,bathroom-03.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",58.9
bathroom,interior,bathroom-03.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",52.6
bathroom,interior,bathroom-03.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",50.2
bathroom,interior,bathroom-04.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",78.7
bathroom,interior,bathroom-04.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",78.7
bathroom,interior,bathroom-04.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",75.8
bathroom,interior,bathroom-04.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",73.6
bathroom,interior,bathroom-05.jpg,1,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",61.8
bathroom,interior,bathroom-05.jpg,2,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",61.8
bathroom,interior,bathroom-05.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",57.1
bathroom,interior,bathroom-05.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",54.9
bathroom,interior,bathroom-06.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",61.8
bathroom,interior,bathroom-06.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",61.8
bathroom,interior,bathroom-06.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",55.6
bathroom,interior,bathroom-06.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",53.2
bathroom,interior,bathroom-07.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",62
bathroom,interior,bathroom-07.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",62
bathroom,interior,bathroom-07.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",56.8
bathroom,interior,bathroom-07.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",55.1
bathroom,interior,bathroom-08.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",57.5
bathroom,interior,bathroom-08.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",57.5
bathroom,interior,bathroom-08.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",55.1
bathroom,interior,bathroom-08.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",54.5
bathroom,interior,bathroom-09.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",64.5
bathroom,interior,bathroom-09.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",64.5
bathroom,interior,bathroom-09.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",58.4
bathroom,interior,bathroom-09.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",55.9
bathroom,interior,bathroom-10.jpg,1,5beded7e-600e-4a41-b6b0-818a1e23a4ed,"شقة فى مدينة نصر",59.3
bathroom,interior,bathroom-10.jpg,2,c2d7a0a0-d146-4e0c-9edb-95e698edcd99,"شقة فى المعادى",59.3
bathroom,interior,bathroom-10.jpg,3,d7b6825a-fe7b-43d0-8045-040e3f15e1dd,"Luxury Apartment in New Cairo",52.9
bathroom,interior,bathroom-10.jpg,4,f15933d0-b890-4c3e-9652-67fa93999e80,"Modern Apartment in Zamalek (Test)",50.4
